2,"""18"" Imperial IPA",3459,Ship Bottom Brewery
3,"""Admiral"" Stache",2610,Milwaukee Brewing Company
4,"""Bedraggled"" Irish Red",1343,Dirty Bucket Brewing Company
5,"""Jemmy Dean"" Breakfast Stout",4172,Wrecking Bar Brewpub
6,"""Mauvaises Choses""",2664,Mother Earth Brew Company
7,"""Mike Saw a Sasquatch"" Session Ale",3,10 Barrel Brewing Company
8,"""My"" Bock",1335,Dickersbach Brewing Company
9,"""Not Just Some"" Oatmeal Stout",1157,Cocoa Beach Brewing Company
10,"""Ptarmigan"" Pilsner",261,Backcountry Brewery
11,"""Wheeler"" Wheat",261,Backcountry Brewery
12,"""Wintah"" Ale",4170,Wormtown Brewing Company
13,#40 Golden Lager,2616,Minocqua Brewing Company
14,#42 Cream Ale,2398,Listermann Brewing Company
15,#42 Poblano Stout,430,Big Choice Brewing
16,#9,2489,Magic Hat Brewing Company
17,'400' Honey Ale,3851,Titletown Brewing
18,'A' Mountain Red,3834,Thunder Canyon Brewery
19,'Bombs Away' Double IPA,1220,Crabby Larry's Brewpub Steak & Crab House
20,'Heifer' Weizen,1215,Country Boy Brewing
21,'honey Bzzz,90,Acoustic Draft Mead
22,'n Toeback,3392,Scheldebrouwerij
23,'Nother Day in Paradise,2775,NoDa Brewing Company
24,'Ol Blackie IPA,3488,Singlecut Beersmiths
25,'tis the Saison,2775,NoDa Brewing Company
26,(512) ALT,2,(512) Brewing Company
27,(512) Black IPA,2,(512) Brewing Company
28,(512) Brandy Barrel Aged One,2,(512) Brewing Company
29,(512) Bruin,2,(512) Brewing Company
30,(512) Cascabel Cream Stout,2,(512) Brewing Company
31,(512) Double IPA,2,(512) Brewing Company
32,(512) IPA,2,(512) Brewing Company
33,(512) One,2,(512) Brewing Company
34,(512) Pale,2,(512) Brewing Company
35,(512) Pecan Porter,2,(512) Brewing Company
36,(512) Three,2,(512) Brewing Company
37,(512) Two,2,(512) Brewing Company
38,(512) Whiskey Barrel Aged Double Pecan Porter,2,(512) Brewing Company
39,(512) Wild Bear,2,(512) Brewing Company
40,(512) Wit,2,(512) Brewing Company
41,(904) Weissguy,1474,Engine 15 Brewing Company
42,+353 Stout,4160,Wooden Legs Brewing Company
43,.38 Special Bitter,3674,Sullivan's Black Forest Brew Haus & Grill
44,077XX India Pale Ale,1048,Carton Brewing Co
45,1 North Lager,859,Bricktown Brewery (OKC)
46,"1,2,3 Ale",2880,Olde Peninsula Brewpub and Restaurant
47,10 Blocks South,2775,NoDa Brewing Company
48,10 Day Scottish Ale,1587,Flix Brewhouse
49,10 Squared Anniversary Reel Ale,1566,Fish Brewing Company
50,"10,000 Summers",430,Big Choice Brewing
51,10-10-10,3686,Swamp Head Brewery
52,100 Barrel Series # Wit Beer,1881,Harpoon Brewery
53,100 Barrel Series #1 Oatmeal Stout,1881,Harpoon Brewery
54,100 Barrel Series #10 Triticus,1881,Harpoon Brewery
55,100 Barrel Series #11 Framboise,1881,Harpoon Brewery
56,100 Barrel Series #12 Imperial Stout,1881,Harpoon Brewery
57,100 Barrel Series #13 Kellerbier,1881,Harpoon Brewery
58,100 Barrel Series #3 Abbey Style Ale,1881,Harpoon Brewery
59,100 Barrel Series #31 -  Single Hop ESB,1881,Harpoon Brewery
60,100 Barrel Series #33 - Glacier Harvest '10 Wet Hop Ale,1881,Harpoon Brewery
61,100 Barrel Series #38 - Dočesná Czech,1881,Harpoon Brewery
62,100 Barrel Series #39 - Vermont Spruce Tip Ale,1881,Harpoon Brewery
63,100 Barrel Series #4 Barleywine,1881,Harpoon Brewery
64,100 Barrel Series #40 Black IPA,1881,Harpoon Brewery
65,100 Barrel Series #41 Catamount Maple Wheat,1881,Harpoon Brewery
66,100 Barrel Series #45 - Directors' Cut,1881,Harpoon Brewery
67,100 Barrel Series #46 - Hoppy Belgian Blonde Ale,1881,Harpoon Brewery
68,100 Barrel Series #5 Alt,1881,Harpoon Brewery
69,100 Barrel Series #6 Scotch Style Ale,1881,Harpoon Brewery
70,100 Barrel Series #7 Union Street Revival Ale,1881,Harpoon Brewery
71,100 Barrel Series #8 Smoked Porter,1881,Harpoon Brewery
72,100 Barrel Series #9 Maibock,1881,Harpoon Brewery
73,100% Organic Ale,3675,Summit Brewing Company
74,1000 Barley Wine,3981,Upstream Brewing Company
75,1000 IPA,2595,Mikkeller
76,1060 EZ,2750,New Old Lompoc
77,1084 Barleywine,2571,Mercury Brewing Company
78,10k IPA,1617,Founders Brewing Company
79,10th Anniversary IIPA,1256,Cumberland Brewery
80,10th Noel,89,Acorn Brewery of Barnsley
81,10th Street Amber,3880,Treehaus Brewery
82,11,354,Bear Republic Brewery
83,1100 Wheat Wine,1568,"Fitger's Brewhouse, Brewery and Grill"
84,110K+OT Batch #1,1128,Cigar City Brewing
85,110K+OT Batch #2,1128,Cigar City Brewing
86,110K+OT Batch #3,1128,Cigar City Brewing
87,110K+OT Batch #4,1128,Cigar City Brewing
88,11th Hour IPA,1249,Crow Peak Brewing Company
89,12 Dogs of Christmas Ale,3810,Thirsty Dog Brewing Company
90,12 Hops Of Christmas,2603,Millbock Brewing Company
91,12 Horse Ale,1708,Genesee Brewing Company
92,12 Penny Scottish Ale,1579,FLAT12 Bierwerks
93,120 Minute IPA,1355,Dogfish Head Craft Brewery
94,120 Shilling Scotch Ale,2283,Kuhnhenn Brewing
95,13 Questions,2180,Justice Brewing
96,13 Rebels ESB,1654,French Broad Brewing Company
97,1327 Pod's ESB,532,Blue Blood Brewing Company
98,13th Anniversary Ale,3639,Stone Brewing Company
99,1492 IPA,3864,Toppling Goliath Brewing Company
100,15 Anniversary,1590,Flossmoor Station Brewing Company
101,1554 Enlightened Black Ale,2738,New Belgium Brewing
102,15th  Anniversary,1397,Dunedin Brewery
103,15th Anniversary Ale,3185,Real Ale Brewing Company
104,15th Anniversary Wood Aged Double IPA,1790,Great Divide Brewing Company
105,1623 Settlement Brown Ale,49,7th Settlement Brewery
106,1634 Ale,828,Brewer's Alley Restaurant & Brewery
107,1634 Urtyp Hell,2971,Paulaner
108,1664,667,Brasseries Kronenbourg
109,16th Anniversary Ale,3185,Real Ale Brewing Company
110,16th Avenue Pilsner,442,Big River Grille & Brewing Works
111,17 Anniversary,3189,Red Brick Brewing Company
112,1757 Amber Lager,4020,Vintage 50 Restaurant and Brew Lounge
113,1784 Anniversary Beer,4031,vyturio Alaus Darykla
114,1798 Revolution,1389,Dublin Brewing
115,18-Watt IPA,3488,Singlecut Beersmiths
